"","PRIMARY_COUNTY","FACILITY_NAME","DISCHARGE_METHOD","PRES_RES_TOTAL_RECEIVNG_TRMT","EXIST_MUNICIPAL","EXIST_INDUSTRIAL","EXIST_INFILTRATION","EXIST_TOTAL","EXIST_WET_WEATHER_PEAK","PRIMARY_WATERSHED_NAME","HORIZONTAL_COORDINATE_DATUM","PFOS  discharge  based on MN WWTP regression representing year 2007 (kg)","geometry","intersection","ORIGINAL_HUC_8","CALCULATED_HUC_12","CALCULATED_HUC_8"
"435","Monroe","WATERLOO, VILLAGE OF","Outfall To Surface Waters",10100,1.2,NA,NA,1.2,NA,"Lower Kaskaskia","North American Datum of 1983",0.00707734982311599,c(-90.1499, 38.334),88775,"07140204","071401010701","07140101"
"436","Oakland","SOUTH LYON WWTP","Outfall To Surface Waters",10036,1.1,NA,NA,1.1,NA,"Huron","North American Datum of 1983",0.00702178242593074,c(-83.6663, 42.4548),44581,"04090005","041000130109","04100013"
"437","Washtenaw","SALINE STP","Outfall To Surface Waters",10010,0.88,0.5,NA,1.38,NA,"Huron","North American Datum of 1983",0.00699923242181917,c(-83.7838, 42.161),63442,"04090005","041000020403","04100002"
"438","Sullivan","CLAREMONT WWTF","Outfall To Surface Waters",10003,1.587,0.2,NA,1.787,2.313,"Upper Connecticut-Mascoma","North American Datum of 1983",0.00699316366674068,c(-72.3804, 43.3901),21744,"01080104","010801060407","01080106"
"439","Washington","Westerly WWTF","Outfall To Surface Waters",10001,2.5,NA,NA,2.5,NA,"Pawcatuck-Wood","North American Datum of 1983",0.00699142992388712,c(-71.8356, 41.3595),13111,"01090005","011000070303","01100007"
"440","Oswego","Oswego (C) East Side STP","Outfall To Surface Waters",10000,2.239,NA,NA,2.239,NA,"Lake Ontario","North American Datum of 1983",0.00699056308366305,c(-76.4993, 43.4696),56475,"04150200","042800020102","04280002"
"441","Colleton","WALTERBORO WW TRT PLANT","Outfall To Surface Waters",10000,1.486,0.01,NA,1.496,NA,"Broad-St. Helena","North American Datum of 1983",0.00699056308366305,c(-80.6625, 32.8861),19416,"03050208","030502070804","03050207"
"442","Archuleta","Pagosa Area WSD","Outfall To Surface Waters",10000,0.9,NA,NA,0.9,NA,"Upper San Juan","North American Datum of 1983",0.00699056308366305,c(-107.1053, 37.2524),6391,"14080101","140801020402","14080102"
"443","Sumner","White House WWTP","Outfall To Surface Waters",10000,0.442,NA,NA,0.442,1.463,"Barren","North American Datum of 1983",0.00699056308366305,c(-86.6756, 36.4862),22311,"05110002","051302060201","05130206"
"444","Logan","GUTHRIE PWA WWT","Outfall To Surface Waters",9925,1.2,NA,NA,1.2,NA,"Lower Cimarron","North American Datum of 1983",0.00692560946953732,c(-97.4343, 35.9061),67197,"11050003","110500021110","11050002"
"445","Sagadahoc","BATH WTP","Outfall To Surface Waters",9837,2.63,0.19,NA,2.82,NA,"Lower Kennebec","North American Datum of 1983",0.00684954734171619,c(-69.8108, 43.9269),24091,"01030003","010500030603","01050003"
"446","Wright","MONTICELLO STP","Outfall To Surface Waters",9761,1.22,NA,NA,1.22,NA,"Mississippi Headwaters","North American Datum of 1983",0.00678398856219178,c(-93.7756, 45.2977),60019,"07010101","070102030605","07010203"
"447","Montour","DANVILLE BORO STP","Outfall To Surface Waters",9758,2.07,0.61,NA,2.68,NA,"Lower West Branch Susquehanna","North American Datum of 1983",0.00678140322189652,c(-76.625, 40.9626),29800,"02050206","020501071003","02050107"
"448","Larimer","Boxelder Sanitation District","Outfall To Surface Waters",9680,1,NA,NA,1,NA,"Big Thompson","North American Datum of 1983",0.00671425145966104,c(-105.036, 40.5829),39649,"10190006","101900070804","10190007"
"449","Erie","Grand Island (T) STP SD #2","Outfall To Surface Waters",9675,1.6,NA,0.775,2.375,NA,"Niagara","North American Datum of 1983",0.0067099512759377,c(-78.9684, 43.0573),49711,"04120104","042701010806","04270101"
"450","Barbour","EUFAULA WWTP","Outfall To Surface Waters",9666,1.5,NA,NA,1.5,NA,"Middle Chattahoochee-Lake Harding","North American Datum of 1983",0.00670221228935062,c(-85.14, 31.8531),34658,"03130002","031300031303","03130003"
"451","Livingston","BRIGHTON STP","Outfall To Surface Waters",9600,0.68,NA,NA,0.68,NA,"Shiawassee","North American Datum of 1983",0.00664551263656084,c(-83.8015, 42.5058),44579,"04080203","041000130111","04100013"
"452","Franklin","RUSSELLVILLE WWTP","Outfall To Surface Waters",9579,1.324,0.2,1.1,2.624,10.3,"Pickwick Lake","North American Datum of 1983",0.00662749141797158,c(-87.7283, 34.4689),36767,"06030005","060300060201","06030006"
"453","Phillips","Helena/West Helena - W. Helena WWTP","Outfall To Surface Waters",9489,0.956,NA,NA,0.956,NA,"Lower Mississippi-Helena","North American Datum of 1983",0.00655036518940774,c(-90.6716, 34.5335),28639,"08020100","080203040305","08020304"
"454","Calhoun","Little Chocolate Bayou WWTP","Outfall To Surface Waters",9472,0.91,NA,NA,0.91,NA,"Lavaca","North American Datum of 1983",0.00653581655423981,c(-96.6294, 28.6249),53441,"12100101","121004020305","12100402"
"455","St. Lawrence","Potsdam (V) WWTP","Outfall To Surface Waters",9425,1.06,NA,0.392,1.452,NA,"Raquette","North American Datum of 1983",0.0064956264892203,c(-74.9937, 44.6795),44738,"04150305","042900050703","04290005"
"456","Chester","WEST CHESTER / GOOSE CREEK STP","Outfall To Surface Waters",9407,0.67,0.3,NA,0.97,NA,"Brandywine-Christina","North American Datum of 1983",0.00648024727007778,c(-75.583, 39.9507),20167,"02040205","020402020605","02040202"
"457","San Juan","SHIPROCK STP","Outfall To Surface Waters",9359,0.48,NA,NA,0.48,NA,"Middle San Juan","Unknown",0.00643927056752255,c(-108.2169, 36.2169),68261,"14080105","140801060706","14080106"
"458","Morris","JEFFERSON TWP STP","Outfall To Surface Waters",9332,0.094,NA,NA,0.094,NA,"Middle Delaware-Musconetcong","North American Datum of 1983",0.00641624331142481,c(-74.5136, 41.034),69599,"02040105","020301030401","02030103"
"459","Harnett","BLACKRIVER WWTP (DUNN)","Outfall To Surface Waters",9331,1.625,0.134,0.117,1.876,NA,"Black","North American Datum of 1983",0.00641539075683892,c(-78.6856, 35.2938),93093,"03030006","030300040506","03030004"
"460","Chittenden","BURLINGTON EAST STP","Outfall To Surface Waters",9300,0.693,0.03,NA,0.723,NA,"Winooski","North American Datum of 1983",0.00638897244985198,c(-73.1947, 44.4873),45589,"02010003","043001030704","04300103"
"461","Merrimack","Allenstown Regional WWTF","Outfall To Surface Waters",9255,0.767,NA,NA,0.767,1.466,"Merrimack","North American Datum of 1927",0.00635066090085117,c(-71.4639, 43.1278),22132,"01070002","010700060802","01070006"
"462","Livingston","HOWELL STP","Outfall To Surface Waters",9232,1.06,NA,NA,1.06,NA,"Upper Grand","North American Datum of 1983",0.00633109668675056,c(-83.9335, 42.5937),29352,"04050004","040802030101","04080203"
"463","Bradford","VALLEY JT SA STP -  ATHENS","Outfall To Surface Waters",9228,1.51,0.09,NA,1.6,NA,"Chemung","North American Datum of 1983",0.00632769540786319,c(-76.5152, 41.9667),41153,"02050105","020501030707","02050103"
"464","Monroe","BERLIN TWP STP","Outfall To Surface Waters",9164,1.5,NA,NA,1.5,NA,"Huron","North American Datum of 1983",0.00627332314479224,c(-83.2708, 41.9888),44271,"04090005","041000010104","04100001"
"465","Washtenaw","NORTHFIELD STP","Outfall To Surface Waters",9099,0.45,NA,NA,0.45,NA,"Huron","North American Datum of 1983",0.00621819452197577,c(-83.7769, 42.4362),44585,"04090005","041000130301","04100013"
"466","Washington","MONTPELIER WPCF","Outfall To Surface Waters",9039,1.82,0.13,NA,1.95,NA,"Winooski","North American Datum of 1983",0.00616739036997497,c(-72.601, 44.2553),45505,"02010003","043001030402","04300103"
"467","Eaton","CHARLOTTE WWTP","Outfall To Surface Waters",9026,0.72,NA,NA,0.72,NA,"Thornapple","North American Datum of 1983",0.00615639344903797,c(-84.8269, 42.5502),64320,"04050007","040500030306","04050003"
"468","Butler","WESTERN BUTLER COUNTY AUTH","Outfall To Surface Waters",9014,1.09,NA,NA,1.09,NA,"Middle Allegheny-Tionesta","North American Datum of 1983",0.00614624581834044,c(-80.1515, 40.7884),16279,"05010003","050301050409","05030105"
"469","Shasta","SHASTA LAKE WWTF","Outfall To Surface Waters",9008,0.8,NA,NA,0.8,NA,"Sacramento-Lower Cow-Lower Clear","North American Datum of 1983",0.00614117321841715,c(-122.391, 40.6855),2030,"18020101","180201540304","18020154"
"470","Garfield","Glenwood Springs Regional WWTP","Outfall To Surface Waters",9000,1.3,NA,NA,1.3,NA,"Colorado Headwaters-Plateau","North American Datum of 1983",0.00613441101321552,c(-107.3292, 39.5475),58427,"14010005","140100041003","14010004"
"471","Livingston","CHILLICOTHE WWTP","Outfall To Surface Waters",8968,1,0.3,0.15,1.45,NA,"Lower Grand","North American Datum of 1983",0.00610737662666955,c(-93.5561, 39.7553),8209,"10280103","102801011708","10280101"
"472","Itasca","GRAND RAPIDS STP","Outfall To Surface Waters",8933,NA,NA,NA,8.51,NA,"Mississippi Headwaters","North American Datum of 1983",0.00607783426643924,c(-93.507, 47.2248),21974,"07010101","070101030301","07010103"
"473","Windsor","SPRINGFIELD WPCF","Outfall To Surface Waters",8918,1.048,0.219,NA,1.267,1.9,"Black-Ottauquechee","North American Datum of 1983",0.00606518175009118,c(-72.4694, 46.2797),NA,"01080106","",""
"474","Mississippi","Osceola WWTP","Outfall To Surface Waters",8875,2.4,NA,NA,2.4,NA,"Lower Mississippi-Memphis","North American Datum of 1983",0.00602893952721681,c(-89.9689, 35.6828),28697,"08010100","080202031206","08020203"
"475","Aroostook","PRESQUE ISLE WWTF","Outfall To Surface Waters",8851,2,NA,NA,2,NA,"Upper St. John","North American Datum of 1983",0.00600872961432225,c(-68.0142, 46.6919),41447,"01010001","010100041107","01010004"
"476","Windsor","WHITE RIVER JUNCTION WWTF","Outfall To Surface Waters",8849,1,0.02,NA,1.02,NA,"Upper Connecticut-Mascoma","North American Datum of 1983",0.00600704604801861,c(-72.3333, 43.6333),22153,"01080104","010801060302","01080106"
"477","Cape May","Lower Township MUA - STP/CS","Outfall To Surface Waters",8789,2.243,0.28,NA,2.523,NA,"Delaware Bay","North American Datum of 1983",0.00595658159338935,c(-74.9363, 39.0042),21202,"02040204","020402060701","02040206"
"478","Marion","WHITE OAK CREEK PLANT","Outfall To Surface Waters",8775,0.45,0.2,NA,0.65,NA,"Lower Pee Dee","North American Datum of 1983",0.00594481842550022,c(-79.2236, 34.1739),42590,"03040201","030402040803","03040204"
"479","Butler","AUGUSTA WWTP","Outfall To Surface Waters",8700,0.87,NA,0.3,1.17,NA,"Upper Walnut River","North American Datum of 1983",0.00588187827314407,c(-97.0604, 37.6789),87111,"11030017","110300180102","11030018"
"480","Sussex","SEAFORD STP","Outfall To Surface Waters",8682,1,NA,NA,1,NA,"Nanticoke","North American Datum of 1983",0.00586679196148578,c(-75.6663, 38.6668),84283,"02060008","020801090405","02080109"
"481","Schuylkill","FRACKVILLE AREA MUN AUTH","Outfall To Surface Waters",8670,1.01,NA,NA,1.01,NA,"Schuylkill","North American Datum of 1983",0.00585673858898461,c(-76.2488, 40.7801),42374,"02040203","020503010501","02050301"
"482","Mason","LUDINGTON STP","Outfall To Surface Waters",8643,1.35,0.35,NA,1.7,NA,"Lake Michigan","North American Datum of 1983",0.00583413071434211,c(-86.4088, 43.9419),38692,"04060200","040601010509","04060101"
"483","Polk","EAST GRAND FORKS STP","Outfall To Surface Waters",8638,0.68,0.04,NA,0.72,NA,"Grand Marais-Red","North American Datum of 1983",0.00582994592908059,c(-97.0169, 47.9262),61695,"09020306","090203010705","09020301"
"484","Corozal","Corozal WWTP","Outfall To Surface Waters",8553,0.51,NA,NA,0.51,NA,"Interior Puerto Rico","North American Datum of 1983",0.00575889373032157,c(-66.3191, 18.3458),40625,"21010001","210100020101","21010002"
"485","Carbon","Rawlins Wastewater Lagoons","Outfall To Surface Waters",8538,1.1,NA,NA,1.1,NA,"Middle Fork Powder","North American Datum of 1927",0.00574637264173803,c(-107.1054, 41.4639),74672,"10090201","101800020802","10180002"
"486","Plaquemines","BELLE CHASSE HWY 23 WWTP","Outfall To Surface Waters",8512,2.02,NA,NA,2.02,NA,"Lower Mississippi-New Orleans","North American Datum of 1983",0.00572468192940591,c(-90.0142, 29.8041),86590,"08090100","080903010404","08090301"
"487","Hays","Kyle WWTP","Outfall To Surface Waters",8500,1.5,NA,NA,1.5,NA,"San Gabriel","North American Datum of 1983",0.00571467619030152,c(-97.8317, 29.9699),94353,"12070205","121002030401","12100203"
"488","Shasta","Anderson WWTF","Outfall To Surface Waters",8500,1.4,0.04,NA,1.44,NA,"Sacramento-Lower Cow-Lower Clear","North American Datum of 1983",0.00571467619030152,c(-122.275, 40.4664),2031,"18020101","180201540305","18020154"
"489","Livingston","WALKER STP","Outfall To Surface Waters",8485,0.75,NA,NA,0.75,NA,"Lake Maurepas","North American Datum of 1983",0.00570217378348178,c(-90.8718, 30.4807),32045,"08070204","080702020703","08070202"
"490","Dane","OREGON STP","Outfall To Surface Waters",8441,1,NA,NA,1,NA,"Upper Rock","North American Datum of 1983",0.00566553067794336,c(-89.3738, 42.925),73849,"07090001","070900020801","07090002"
"491","Cameron","Isla Blanca Park WWTP","Outfall To Surface Waters",8400,0.788,NA,NA,0.788,NA,"South Corpus Christi Bay","North American Datum of 1983",0.00563142719665754,c(-97.2211, 26.0633),30031,"12110202","121102080900","12110208"
"492","Oakland","HOLLY STP","Outfall To Surface Waters",8225,0.7,NA,NA,0.7,NA,"Flint","North American Datum of 1983",0.00548631429439265,c(-83.6352, 42.7971),28087,"04080204","040802030107","04080203"
"493","Gibson","PRINCETON WWTP","Outfall To Surface Waters",8175,4.186,NA,NA,4.186,NA,"Lower Wabash","North American Datum of 1983",0.00544498870554506,c(-87.5674, 38.3306),19191,"05120113","051402020104","05140202"
"494","Adjuntas","Adjuntas WWTP","Outfall To Surface Waters",8152,0.5,NA,NA,0.5,NA,"Interior Puerto Rico","North American Datum of 1927",0.00542599927289426,c(-66.4343, 18.1006),40357,"21010001","210100040311","21010004"
"495","Zavala","Crystal City WWTP","Outfall To Surface Waters",8150,0.98,NA,NA,0.98,NA,"Turkey","North American Datum of 1983",0.00542434862495449,c(-99.8176, 28.6969),51349,"12110104","121101030207","12110103"
"496","Lassen","SUSANVILLE REG WWTF","Outfall To Surface Waters",8104,1.1,NA,NA,1.1,3,"Upper Pit","North American Datum of 1983",0.00538641058997433,c(-120.6297, 40.4143),57410,"18020002","180800030703","18080003"
"497","Morehouse","MAIN STP","Outfall To Surface Waters",8100,0.69,NA,NA,0.69,NA,"Lower Ouachita-Bayou De Loutre","North American Datum of 1983",0.00538311406802171,c(-91.924, 32.7685),28262,"08040202","080500011201","08050001"
"498","Tooele","GRANTSVILLE","Outfall To Surface Waters",8074,0.681,NA,NA,0.681,1,"Great Salt Lake","North American Datum of 1983",0.00536169620461283,c(-112.4428, 40.6183),51604,"16020310","160203040503","16020304"
"499","Sitka","SITKA WASTEWATER FACIL","Ocean Discharge",8000,0.839,NA,NA,0.839,6.5,"Baranof-Chichagof Islands. Alaska","North American Datum of 1983",0.00530082837213563,c(-135.3554, 57.0476),46404,"19010203","190102121106","19010212"
"500","Sutter","Live Oak WWTP","Outfall To Surface Waters",8000,0.8,NA,NA,0.8,5.9,"Lower Feather","North American Datum of 1983",0.00530082837213563,c(-121.6786, 39.2594),101891,"18020106","180201590400","18020159"
"501","Sullivan","NEWPORT-GUILD ST FAC","Outfall To Surface Waters",8000,NA,0.8,NA,0.8,NA,"Upper Connecticut-Mascoma","North American Datum of 1927",0.00530082837213563,c(-72.082, 43.2233),15636,"01080104","010700030201","01070003"
"502","St. Bernard","FAZENDVILLE PLANT","Outfall To Surface Waters",8000,0.7,NA,NA,0.7,NA,"Lower Mississippi-New Orleans","North American Datum of 1983",0.00530082837213563,c(-89.9564, 29.9311),101956,"08090100","080902030501","08090203"
"503","Tuscola","CARO STP","Outfall To Surface Waters",7954,0.43,NA,NA,0.43,NA,"Lake Huron","North American Datum of 1983",0.00526305958241172,c(-83.3915, 43.4837),25286,"04080300","040802050208","04080205"
"504","Ascension","DONALDSONVILLE STP","Outfall To Surface Waters",7949,0.69,NA,NA,0.69,NA,"Lower Mississippi-Baton Rouge","North American Datum of 1983",0.00525895743160174,c(-90.9659, 30.0655),84589,"08070100","080903010101","08090301"
"505","Carteret","MOREHEAD CITY WWTP","Outfall To Surface Waters",7931,1.2,0.1,0.2,1.5,NA,"Bogue-Core Sounds","North American Datum of 1983",0.0052441948179849,c(-76.7372, 34.7338),91831,"03020106","030203010406","03020301"
"506","Salem","Carneys Point Township STP","Outfall To Surface Waters",7816,0.715,NA,NA,0.715,NA,"Delaware Bay","North American Datum of 1983",0.00515006845885886,c(-75.4754, 39.7113),21096,"02040204","020402060103","02040206"
"507","East Feliciana","JACKSON CS","Outfall To Surface Waters",7811,0.471,NA,NA,0.471,NA,"Lower Mississippi-Baton Rouge","North American Datum of 1983",0.00514598350838686,c(-91.2221, 30.8299),64958,"08070100","080702010306","08070201"
"508","Columbiana","Columbiana WWTP & Sewer System","Outfall To Surface Waters",7800,1.2,NA,1,2.2,NA,"Mahoning","North American Datum of 1983",0.00513699882665151,c(-80.7612, 40.7711),66497,"05030103","050301010403","05030101"
"509","Morrison","LITTLE FALLS STP","Outfall To Surface Waters",7800,1.11,NA,NA,1.11,NA,"Elk-Nokasippi","North American Datum of 1983",0.00513699882665151,c(-94.3643, 45.9664),39882,"07010104","070102010703","07010201"
"510","Harris","Timberlane WWTP","Outfall To Surface Waters",7800,0.906,NA,NA,0.906,NA,"Spring","North American Datum of 1983",0.00513699882665151,c(-95.367, 29.756),97301,"12040102","120401040703","12040104"
"511","Brazoria","Southdown WWTP","Outfall To Surface Waters",7790,0.53,NA,NA,0.53,NA,"Austin-Oyster","North American Datum of 1983",0.00512883357249092,c(-95.3635, 29.5788),94276,"12040205","120402040100","12040204"
"512","Scotts Bluff","GERING WWTP","Outfall To Surface Waters",7751,0.8,NA,NA,0.8,NA,"Middle North Platte-Scotts Bluff","North American Datum of 1927",0.00509701313694684,c(-103.4, 41.5),70874,"10180009","101800130305","10180013"
"513","Douglas","SUTHERLIN STP","Outfall To Surface Waters",7750,0.83,NA,NA,0.83,NA,"North Umpqua","North American Datum of 1983",0.00509619773268461,c(-123.3599, 43.397),48445,"17100301","171003030106","17100303"
"514","Rapides","BALL STP","Outfall To Surface Waters",7743,0.425,NA,NA,0.425,NA,"Lower Ouachita-Bayou De Loutre","North American Datum of 1983",0.00509049061001113,c(-92.3751, 31.4052),86796,"08040202","080403040501","08040304"
"515","Allegany","Celanese WWTP","Outfall To Surface Waters",7740,1.051,NA,NA,1.051,NA,"Cacapon-Town","North American Datum of 1983",0.00508804507926713,c(-78.814, 39.6045),82906,"02070003","020700020403","02070002"
"516","Barry","GUN LAKE AREA STP","Outfall To Surface Waters",7723,0.47,NA,NA,0.47,NA,"Thornapple","North American Datum of 1983",0.00507419137054547,c(-85.5343, 42.5892),64461,"04050007","040500030702","04050003"
"517","Montgomery","NEW CANEY STP","Outfall To Surface Waters",7700,0.59,NA,NA,0.59,NA,"West Fork San Jacinto","North American Datum of 1983",0.00505545976610508,c(-95.2035, 30.1383),18809,"12040101","120401030105","12040103"
